Title	Franchise	Format	Genres	Era	Links
"=""Ip Man"""	"=""Ip Man"""	"=""movie"""	"=""action, kung fu"""	"=""2008"""	"=""https://en.wikipedia.org/wiki/Ip_Man_(film), https://tv.apple.com/us/movie/ip-man/umc.cmc.7cpptc5t2eh33y4qltuzk56uo"""
"=""Ip Man 2"""	"=""Ip Man"""	"=""movie"""	"=""action, kung fu"""	"=""2010"""	"=""https://en.wikipedia.org/wiki/Ip_Man_2, https://tv.apple.com/us/movie/ip-man-2/umc.cmc.5f84nu8ltheb4v3y5mhsek2yz"""
"=""Ip Man 3"""	"=""Ip Man"""	"=""movie"""	"=""action, kung fu"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/Ip_Man_3, https://tv.apple.com/us/movie/ip-man-3/umc.cmc.nrsomzs4yuzx4fdo6ks00152"""
"=""Ip Man 4: The Finale"""	"=""Ip Man"""	"=""movie"""	"=""action, kung fu"""	"=""2019"""	"=""https://en.wikipedia.org/wiki/Ip_Man_4%3A_The_Finale, https://tv.apple.com/us/movie/ip-man-4-the-finale/umc.cmc.1hu1p0lbtbip620mrbxl53136"""
"=""Iron Man"""	"="""""	"=""movie"""	"=""action, superheroes"""	"=""2008"""	"=""https://en.wikipedia.org/wiki/Iron_Man_(2008_film), https://tv.apple.com/us/movie/iron-man/umc.cmc.219lnb4s678o8roez3o905h7r"""
"=""It"""	"=""It"""	"=""movie"""	"=""horror, monsters, suspense"""	"=""2017"""	"=""https://en.wikipedia.org/wiki/It_(2017_film), https://tv.apple.com/us/movie/it/umc.cmc.ccv4kqzqrowq575uxyl0gcos"""
"=""It Chapter 2"""	"=""It"""	"=""movie"""	"=""horror, monsters, suspense"""	"=""2019"""	"=""https://en.wikipedia.org/wiki/It_Chapter_Two, https://tv.apple.com/us/movie/it-chapter-two/umc.cmc.696nxlzfifs6t1h6hi8d9nlux"""
"=""It's Always Sunny in Philadelphia"""	"="""""	"=""series"""	"=""comedy"""	"=""2005-"""	"=""https://en.wikipedia.org/wiki/It%27s_Always_Sunny_in_Philadelphia, https://tv.apple.com/us/show/its-always-sunny-in-philadelphia/umc.cmc.ukor9ll2s04re94sh7689z5y"""
"=""iZombie"""	"="""""	"=""series"""	"=""mystery, zombies"""	"=""2015-2019"""	"=""https://en.wikipedia.org/wiki/IZombie_(TV_series), https://tv.apple.com/us/show/izombie/umc.cmc.6cgad3oaxqjht1pekeqjz3uju"""
"=""Jaws"""	"="""""	"=""movie"""	"=""disaster, horror, monsters"""	"=""1975"""	"=""https://en.wikipedia.org/wiki/Jaws_(film), https://tv.apple.com/us/movie/jaws/umc.cmc.2bz6csnv519zyivpg4qb9cgbn"""
"=""Jeopardy!"""	"="""""	"=""series"""	"=""games, nonfiction"""	"=""1964-"""	"=""https://en.wikipedia.org/wiki/Jeopardy!"""
"=""Jericho"""	"="""""	"=""series"""	"=""adventure, drama, fantasy, war"""	"=""2006-2008"""	"=""https://en.wikipedia.org/wiki/Jericho_(2006_TV_series), https://tv.apple.com/us/show/jericho/umc.cmc.2yaptkfplc6i451vvo2foz5fr"""
"=""Jessica Jones"""	"=""Daredevil"""	"=""series"""	"=""action, superheroes"""	"=""2015-2019"""	"=""https://en.wikipedia.org/wiki/Jessica_Jones_(TV_series), https://tv.apple.com/us/show/jessica-jones/umc.cmc.bc1wvcaiig5ifan2chl00aw7"""
"=""Justified"""	"="""""	"=""series"""	"=""action, crime, western"""	"=""2010-2015"""	"=""https://en.wikipedia.org/wiki/Justified_(TV_series), https://tv.apple.com/us/show/justified/umc.cmc.3v6t1mm9t4qz34ztiitfn3x1a"""
"=""The Karate Kid"""	"="""""	"=""movie"""	"=""adventure, high school"""	"=""1984"""	"=""https://en.wikipedia.org/wiki/The_Karate_Kid, https://tv.apple.com/us/movie/the-karate-kid/umc.cmc.35sgeb85f20mzxp5wv4qo7w0o"""
"=""The Kettering Incident"""	"="""""	"=""series"""	"=""mystery, suspense"""	"=""2016"""	"=""https://en.wikipedia.org/wiki/The_Kettering_Incident, https://tv.apple.com/us/show/the-kettering-incident/umc.cmc.1bzn4jjumuowoufwsae4lyhbo"""
"=""Key & Peele"""	"="""""	"=""series"""	"=""comedy, sketch"""	"=""2012-2015"""	"=""https://en.wikipedia.org/wiki/Key_%26_Peele, https://tv.apple.com/us/show/key--peele/umc.cmc.3zn0d5n33pl7buheotza1oyfs"""
"=""Kicking and Screaming"""	"="""""	"=""movie"""	"=""comedy, drama, romance"""	"=""1995"""	"=""https://en.wikipedia.org/wiki/Kicking_and_Screaming_(1995_film), https://tv.apple.com/us/movie/kicking-and-screaming/umc.cmc.668b7hg5mhmwc5na62d0cqult"""
"=""The Killing"""	"="""""	"=""series"""	"=""crime, drama, mystery"""	"=""2011-2014"""	"=""https://en.wikipedia.org/wiki/The_Killing_(American_TV_series), https://tv.apple.com/us/show/the-killing/umc.cmc.4f05vz8f5df9kxfxo587e17qp"""
"=""Killing Eve"""	"="""""	"=""series"""	"=""action, crime, espionage, romance"""	"=""2018-"""	"=""https://en.wikipedia.org/wiki/Killing_Eve, https://tv.apple.com/us/show/killing-eve/umc.cmc.v47twfpcor69ee4gk0qhhkl9"""
"=""Last Week Tonight With John Oliver"""	"="""""	"=""series"""	"=""comedy, nonfiction"""	"=""2014-"""	"=""https://en.wikipedia.org/wiki/Last_Week_Tonight_with_John_Oliver, https://www.hbo.com/last-week-tonight-with-john-oliver"""
"=""The Leftovers"""	"="""""	"=""series"""	"=""disaster, fantasy, mystery, suspense"""	"=""2014-2017"""	"=""https://en.wikipedia.org/wiki/The_Leftovers_(TV_series), https://tv.apple.com/us/show/the-leftovers/umc.cmc.364ieofmqn8ihrnjqrto3u3rd"""
"=""Legends of the Fall"""	"="""""	"=""movie"""	"=""adventure, drama, romance"""	"=""1994"""	"=""https://en.wikipedia.org/wiki/Legends_of_the_Fall, https://tv.apple.com/us/movie/legends-of-the-fall/umc.cmc.78qrlsj4qds45my7e6t3d3d00"""
"=""Legion"""	"="""""	"=""series"""	"=""drama, superheroes"""	"=""2017-2019"""	"=""https://en.wikipedia.org/wiki/Legion_(TV_series), https://tv.apple.com/us/show/legion/umc.cmc.1qs2k3j6y79dkp2muruy3tfgy"""
"=""Leon: The Professional"""	"="""""	"=""movie"""	"=""action, adventure, crime"""	"=""1994"""	"=""https://en.wikipedia.org/wiki/Leon%3A_The_Professional, https://tv.apple.com/us/movie/leon-the-professional/umc.cmc.70xcem3uzcezoza6lczyya6ej"""
"=""Life"""	"="""""	"=""series"""	"=""action, crime, mystery"""	"=""2007-2009"""	"=""https://en.wikipedia.org/wiki/Life_(American_TV_series), https://tv.apple.com/us/show/life/umc.cmc.6651plfe7dkjzyfjh4g9vzwck"""
"=""Logan"""	"="""""	"=""movie"""	"=""action, superheroes, road trip"""	"=""2017"""	"=""https://en.wikipedia.org/wiki/Logan_(film), https://tv.apple.com/us/movie/logan/umc.cmc.1n3n02llymsjkbc3hvpajiwii"""
"=""Longmire"""	"="""""	"=""series"""	"=""crime, mystery, western"""	"=""2012-2017"""	"=""https://en.wikipedia.org/wiki/Longmire_(TV_series), https://tv.apple.com/us/show/longmire/umc.cmc.6s3a6p62hkyk9sbc9venrdkd6"""
"=""Looper"""	"="""""	"=""movie"""	"=""action, science fiction, time travel"""	"=""2012"""	"=""https://en.wikipedia.org/wiki/Looper_(film), https://tv.apple.com/us/movie/looper/umc.cmc.4ntyk3wj5kd607ayjhnt1jqmr"""
"=""Lost"""	"="""""	"=""series"""	"=""fantasy, mystery"""	"=""2004-2010"""	"=""https://en.wikipedia.org/wiki/Lost_(TV_series), https://tv.apple.com/us/show/lost/umc.cmc.224vt3dmosi0331a2yc8ny3l8"""
"=""The Lost Boys"""	"="""""	"=""movie"""	"=""comedy, high school, horror"""	"=""1987"""	"=""https://en.wikipedia.org/wiki/The_Lost_Boys, https://tv.apple.com/us/movie/the-lost-boys/umc.cmc.6e6i8gvaw5deq40srzltt4qfd"""
"=""Luther"""	"="""""	"=""series"""	"=""crime, mystery, suspense"""	"=""2010-2019"""	"=""https://en.wikipedia.org/wiki/Luther_(TV_series), https://tv.apple.com/us/show/luther/umc.cmc.6scwuwiuw4euaytzl3h27flar"""
"=""Mad Max"""	"=""Mad Max"""	"=""movie"""	"=""action, adventure, road trip"""	"=""1979"""	"=""https://en.wikipedia.org/wiki/Mad_Max, https://tv.apple.com/us/movie/mad-max/umc.cmc.55tkmr9z7c6wgu8ylbuai4w3i"""
"=""Mad Max: Fury Road"""	"=""Mad Max"""	"=""movie"""	"=""action, adventure, road trip"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road, https://tv.apple.com/us/movie/mad-max-fury-road/umc.cmc.6xerenwn1999cjd2y6421r2ex"""
"=""Magnum, P.I."""	"="""""	"=""series"""	"=""crime, mystery"""	"=""1980-1988"""	"=""https://en.wikipedia.org/wiki/Magnum%2C_P%2EI%2E, https://tv.apple.com/us/show/magnum-pi/umc.cmc.6vlt9appkttvlij66gi85dfct"""
"=""Making a Murderer"""	"="""""	"=""series"""	"=""crime, documentary, nonfiction"""	"=""2015-2018"""	"=""https://en.wikipedia.org/wiki/Making_a_Murderer, https://www.netflix.com/title/80000770"""
"=""Mallrats"""	"="""""	"=""movie"""	"=""comedy, high school"""	"=""1995"""	"=""https://en.wikipedia.org/wiki/Mallrats, https://tv.apple.com/us/movie/mallrats/umc.cmc.ptrke1iex6zm21rdtuksqx10"""
"=""The Man in the High Castle"""	"="""""	"=""series"""	"=""espionage, science fiction, suspense, war"""	"=""2015-2019"""	"=""https://en.wikipedia.org/wiki/The_Man_in_the_High_Castle_(TV_series), https://www.amazon.com/Man-High-Castle-Season/dp/B00RSGFRY8"""
"=""The Mandalorian"""	"=""Star Wars"""	"=""series"""	"=""road trip, science fiction, space, western"""	"=""2019-"""	"=""https://en.wikipedia.org/wiki/The_Mandalorian, https://www.disneyplus.com/series/the-mandalorian/3jLIGMDYINqD"""
"=""Manhunt"""	"="""""	"=""series"""	"=""crime, drama, nonfiction"""	"=""2017-"""	"=""https://en.wikipedia.org/wiki/Manhunt_(2017_TV_series), https://tv.apple.com/us/show/manhunt-unabomber/umc.cmc.3km1unhvaqe8gsbrr7sxm243q"""
"=""The Matrix"""	"="""""	"=""movie"""	"=""action, adventure, science fiction"""	"=""1999"""	"=""https://en.wikipedia.org/wiki/The_Matrix, https://tv.apple.com/us/movie/the-matrix/umc.cmc.af8k9kcq9r1s1qmmdxpq4itn"""
"=""McMillions"""	"="""""	"=""miniseries"""	"=""crime, documentary, nonfiction"""	"=""2020"""	"=""https://en.wikipedia.org/wiki/McMillions, https://www.hbo.com/mcmillions"""
"=""Meatballs"""	"="""""	"=""movie"""	"=""comedy, high school"""	"=""1979"""	"=""https://en.wikipedia.org/wiki/Meatballs_(film), https://tv.apple.com/us/movie/meatballs/umc.cmc.3mvykwijt5onlmn0wt3km4tr9"""
"=""The Meg"""	"="""""	"=""movie"""	"=""action, adventure, disaster, monsters"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/The_Meg, https://tv.apple.com/us/movie/the-meg/umc.cmc.6uewz4ayns49w246665z2ikra"""
"=""Mid90s"""	"="""""	"=""movie"""	"=""drama, high school, skateboarding"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/Mid90s, https://tv.apple.com/us/movie/mid90s/umc.cmc.5vsuvbt61ehwlyij9852seli2"""
"=""Mindhunter"""	"="""""	"=""series"""	"=""crime, suspense, nonfiction"""	"=""2017-"""	"=""https://en.wikipedia.org/wiki/Mindhunter_(TV_series), https://www.netflix.com/title/80114855"""
"=""Mister Rogers' Neighborhood"""	"="""""	"=""series"""	"=""fantasy"""	"=""1968-2001"""	"=""https://en.wikipedia.org/wiki/Mister_Rogers%27_Neighborhood, https://tv.apple.com/us/show/mister-rogers-neighborhood/umc.cmc.64iahg3hzdj7807dnnvjj40tb"""
"=""Monty Python and the Holy Grail"""	"="""""	"=""movie"""	"=""comedy, fantasy, road trip"""	"=""1975"""	"=""https://en.wikipedia.org/wiki/Monty_Python_and_the_Holy_Grail, https://tv.apple.com/us/movie/monty-python-and-the-holy-grail/umc.cmc.5re6h6rrzwtaub8i4bc3udwm6"""
"=""Mr. Robot"""	"="""""	"=""series"""	"=""conspiracy, crime, espionage, politics, suspense"""	"=""2015-2019"""	"=""https://en.wikipedia.org/wiki/Mr._Robot, https://tv.apple.com/us/show/mr-robot/umc.cmc.306sepo05euzg2r68zzsa02up"""
"=""Mr. Show"""	"="""""	"=""series"""	"=""comedy, sketch"""	"=""1995-1998"""	"=""https://en.wikipedia.org/wiki/Mr%2E_Show_with_Bob_and_David, https://tv.apple.com/us/show/mr-show-with-bob-and-david/umc.cmc.3psahzefj6ag85gd5y57y56tx"""
"=""Murder Mountain"""	"="""""	"=""miniseries"""	"=""crime, documentary, nonfiction"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/Murder_Mountain_(TV_series), https://www.netflix.com/title/80217475"""
"=""Napoleon Dynamite"""	"="""""	"=""movie"""	"=""comedy, high school"""	"=""2004"""	"=""https://en.wikipedia.org/wiki/Napoleon_Dynamite, https://tv.apple.com/us/movie/napoleon-dynamite/umc.cmc.5grtztomcjab13b37ts52yme4"""
"=""National Lampoon's Christmas Vacation"""	"="""""	"=""movie"""	"=""christmas, comedy"""	"=""1989"""	"=""https://en.wikipedia.org/wiki/National_Lampoon%27s_Christmas_Vacation, https://tv.apple.com/us/movie/national-lampoons-christmas-vacation/umc.cmc.7fbk8jjftv8jhrc1ixirf54gd"""
"=""Need for Speed"""	"="""""	"=""movie"""	"=""action, adventure, road trip"""	"=""2014"""	"=""https://en.wikipedia.org/wiki/Need_for_Speed_(film), https://tv.apple.com/us/movie/need-for-speed/umc.cmc.7bz28jip3ejjxlxgot5g13pgj"""
"=""The Night Before"""	"="""""	"=""movie"""	"=""christmas, comedy"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/The_Night_Before_(2015_film), https://tv.apple.com/us/movie/the-night-before/umc.cmc.yebcmcz3le2rsbsdhoxf7wym"""
"=""The Night Manager"""	"="""""	"=""miniseries"""	"=""espionage, suspense"""	"=""2016"""	"=""https://en.wikipedia.org/wiki/The_Night_Manager_(TV_series), https://tv.apple.com/us/show/the-night-manager/umc.cmc.6dh3kg34kvfttyac93nxs8yjm"""
"=""No Country for Old Men"""	"="""""	"=""movie"""	"=""crime, suspense, western"""	"=""2007"""	"=""https://en.wikipedia.org/wiki/No_Country_for_Old_Men_(film), https://tv.apple.com/us/movie/no-country-for-old-men/umc.cmc.1nrcu9h8nypvl4v3bxohft1j5"""
"=""The O.C."""	"="""""	"=""series"""	"=""drama, high school"""	"=""2003-2007"""	"=""https://en.wikipedia.org/wiki/The_O%2EC%2E, https://tv.apple.com/us/show/the-oc/umc.cmc.302y4aein2kxangszc7hwol45"""
"=""The Office"""	"="""""	"=""series"""	"=""comedy"""	"=""2005-2013"""	"=""https://en.wikipedia.org/wiki/The_Office_(American_TV_series), https://tv.apple.com/us/show/the-office/umc.cmc.455js879szmdywutf3qjewagm"""
"=""Office Space"""	"="""""	"=""movie"""	"=""crime, comedy"""	"=""1999"""	"=""https://en.wikipedia.org/wiki/Office_Space, https://tv.apple.com/us/movie/office-space/umc.cmc.6jlilk9yf1ozlv281w6rnw5pu"""
"=""Old School"""	"="""""	"=""movie"""	"=""comedy"""	"=""2003"""	"=""https://en.wikipedia.org/wiki/Old_School_(film), https://tv.apple.com/us/movie/old-school/umc.cmc.1tvgf6e98f4ruweajkjj4qymh"""
"=""Out of Sight"""	"="""""	"=""movie"""	"=""comedy, crime"""	"=""1998"""	"=""https://en.wikipedia.org/wiki/Out_of_Sight, https://tv.apple.com/us/movie/out-of-sight/umc.cmc.4x9i5bdxdx0k2gp2063gtm3ig"""
"=""The Outlaw Josey Wales"""	"="""""	"=""movie"""	"=""action, war, western"""	"=""1976"""	"=""https://en.wikipedia.org/wiki/The_Outlaw_Josey_Wales, https://tv.apple.com/us/movie/the-outlaw-josey-wales/umc.cmc.4gkai2wu0jf22a2v7d25ubnxu"""
"=""The Outsider"""	"="""""	"=""miniseries"""	"=""crime, horror, monsters"""	"=""2020"""	"=""https://en.wikipedia.org/wiki/The_Outsider_(miniseries), https://tv.apple.com/us/show/the-outsider/umc.cmc.36xhg3s1f9mdbqivyqon4fn5v"""
"=""Ozark"""	"="""""	"=""series"""	"=""crime, drama, suspense"""	"=""2017-"""	"=""https://en.wikipedia.org/wiki/Ozark_(TV_series), https://www.netflix.com/title/80117552"""
"=""Parker Lewis Can't Lose"""	"="""""	"=""series"""	"=""comedy, high school"""	"=""1990-1993"""	"=""https://en.wikipedia.org/wiki/Parker_Lewis_Can%27t_Lose"""
"=""Parks and Recreation"""	"="""""	"=""series"""	"=""comedy"""	"=""2009-2015"""	"=""https://en.wikipedia.org/wiki/Parks_and_Recreation, https://tv.apple.com/us/show/parks-and-recreation/umc.cmc.4rhzbt3nmsycvgt4nilhbuyae"""
"=""Party Down"""	"="""""	"=""series"""	"=""comedy"""	"=""2009-2010"""	"=""https://en.wikipedia.org/wiki/Party_Down, https://tv.apple.com/us/show/party-down/umc.cmc.6myol1kgcd19kerlujhtcr8kg"""
"=""Pen15"""	"="""""	"=""series"""	"=""comedy, high school"""	"=""2019-"""	"=""https://en.wikipedia.org/wiki/PEN15, https://tv.apple.com/us/show/pen15/umc.cmc.21mj08e7cn0amhk25njrzjjmv"""
"=""Point Break"""	"="""""	"=""movie"""	"=""action, crime"""	"=""1991"""	"=""https://en.wikipedia.org/wiki/Point_Break, https://tv.apple.com/us/movie/point-break/umc.cmc.xmw67i1eh8yv86pkhougfr33"""
"=""The Princess Bride"""	"="""""	"=""movie"""	"=""adventure, comedy, fantasy"""	"=""1987"""	"=""https://en.wikipedia.org/wiki/The_Princess_Bride_(film), https://tv.apple.com/us/movie/the-princess-bride/umc.cmc.3gq6dacoanmniq9hil8tz75pw"""
"=""Pump up the Volume"""	"="""""	"=""movie"""	"=""high school, music, politics"""	"=""1990"""	"=""https://en.wikipedia.org/wiki/Pump_Up_the_Volume_(film)"""
"=""The Punisher"""	"=""Daredevil"""	"=""series"""	"=""action, superheroes"""	"=""2017-2019"""	"=""https://en.wikipedia.org/wiki/The_Punisher_(TV_series), https://tv.apple.com/us/show/the-punisher/umc.cmc.js4i73kjg5z4wp6pksqm2eky"""
"=""The Purge"""	"=""The Purge"""	"=""movie"""	"=""action, horror, politics"""	"=""2013"""	"=""https://en.wikipedia.org/wiki/The_Purge_(2013_film), https://tv.apple.com/us/movie/the-purge/umc.cmc.3xr9smisneill7xtb2s3x1qgb"""
"=""The Purge"""	"=""The Purge"""	"=""series"""	"=""action, horror, politics"""	"=""2018-2019"""	"=""https://en.wikipedia.org/wiki/The_Purge_(TV_series), https://tv.apple.com/us/show/the-purge/umc.cmc.da2aw197swossjz0sikg1hjk"""
"=""The Purge: Anarchy"""	"=""The Purge"""	"=""movie"""	"=""action, horror, politics"""	"=""2014"""	"=""https://en.wikipedia.org/wiki/The_Purge%3A_Anarchy, https://tv.apple.com/us/movie/the-purge-anarchy/umc.cmc.722zq16insez9n3gi37gt82qo"""
"=""The Purge: Election Year"""	"=""The Purge"""	"=""movie"""	"=""action, horror, politics"""	"=""2016"""	"=""https://en.wikipedia.org/wiki/The_Purge%3A_Election_Year, https://tv.apple.com/us/movie/the-purge-election-year/umc.cmc.2us7pj92cyf56hmbzet98wpn3"""
"=""Raiders of the Lost Ark"""	"=""Indiana Jones"""	"=""movie"""	"=""action, adventure, comedy"""	"=""1981"""	"=""https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark, https://tv.apple.com/us/movie/indiana-jones-and-the-raiders-of-the-lost-ark/umc.cmc.askk2uyh039pu6ik4h8kv4dn"""
"=""Raising Arizona"""	"="""""	"=""movie"""	"=""crime, comedy"""	"=""1987"""	"=""https://en.wikipedia.org/wiki/Raising_Arizona, https://tv.apple.com/us/movie/raising-arizona/umc.cmc.69uyz8qeolyklkb8y095ue9yj"""
"=""Red Dawn"""	"="""""	"=""movie"""	"=""action, fantasy, high school, war"""	"=""1984"""	"=""https://en.wikipedia.org/wiki/Red_Dawn, https://tv.apple.com/us/movie/red-dawn/umc.cmc.6yaazt2d18iarvam6jmm7s9it"""
"=""Return of the Jedi"""	"=""Star Wars"""	"=""movie"""	"=""science fiction, space"""	"=""1983"""	"=""https://en.wikipedia.org/wiki/Return_of_the_Jedi, https://tv.apple.com/us/movie/star-wars-return-of-the-jedi/umc.cmc.3ggalukb7xb5pf1gfgdlwkcx"""
"=""Rick and Morty"""	"="""""	"=""series"""	"=""animation, comedy, science fiction"""	"=""2013"""	"=""https://en.wikipedia.org/wiki/Rick_and_Morty, https://tv.apple.com/us/show/rick-and-morty/umc.cmc.12dp30hnvyq5fbm9716puu8zc"""
"=""The Righteous Gemstones"""	"="""""	"=""series"""	"=""crime, comedy"""	"=""2019-"""	"=""https://en.wikipedia.org/wiki/The_Righteous_Gemstones, https://tv.apple.com/us/show/the-righteous-gemstones/umc.cmc.7i0qo0vj1gkwrj8kyvj45pc9u"""
"=""Robotech"""	"="""""	"=""series"""	"=""animation, anime, science fiction"""	"=""1985"""	"=""https://en.wikipedia.org/wiki/Robotech, https://tv.apple.com/us/show/robotech/umc.cmc.36g36e9i4886hj6fz51ccl72h"""
"=""Rogue One"""	"=""Star Wars"""	"=""movie"""	"=""science fiction, space"""	"=""2016"""	"=""https://en.wikipedia.org/wiki/Rogue_One, https://tv.apple.com/us/movie/rogue-one-a-star-wars-story/umc.cmc.5ydra856u0y2hc1ur13qd4xxx"""
"=""Rubicon"""	"="""""	"=""series"""	"=""espionage, suspense"""	"=""2010"""	"=""https://en.wikipedia.org/wiki/Rubicon_(TV_series)"""
"=""San Andreas"""	"="""""	"=""movie"""	"=""action, adventure, disaster"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/San_Andreas_(film), https://tv.apple.com/us/movie/san-andreas/umc.cmc.4yr6iyzmnnkl6lkvo9h76s2rj"""
"=""Say Anything..."""	"="""""	"=""movie"""	"=""comedy, high school, romance"""	"=""1989"""	"=""https://en.wikipedia.org/wiki/Say_Anything%2E%2E%2E, https://tv.apple.com/us/movie/say-anything/umc.cmc.2oxzd2e6creo8okxltwmyjnr1"""
"=""Scream"""	"="""""	"=""movie"""	"=""high school, horror, suspense"""	"=""1996"""	"=""https://en.wikipedia.org/wiki/Scream_(1996_film), https://tv.apple.com/us/movie/scream/umc.cmc.3lqkarljab5l2z8ifgezgqjvg"""
"=""Scrooged"""	"="""""	"=""movie"""	"=""christmas, comedy"""	"=""1988"""	"=""https://en.wikipedia.org/wiki/Scrooged, https://tv.apple.com/us/movie/scrooged/umc.cmc.7j8xida5di6crnh31t66k8z3y"""
"=""Seinfeld"""	"="""""	"=""series"""	"=""comedy"""	"=""1989-1998"""	"=""https://en.wikipedia.org/wiki/Seinfeld, https://tv.apple.com/us/show/seinfeld/umc.cmc.7wi0fpx37shx0bfxau56ufps"""
"=""Serenity"""	"=""Firefly"""	"=""movie"""	"=""adventure, science fiction, western"""	"=""2005"""	"=""https://en.wikipedia.org/wiki/Serenity_(2005_film), https://tv.apple.com/us/movie/serenity/umc.cmc.6np7tjy7yan4bmbshg7dm4ka5"""
"=""Shameless"""	"="""""	"=""series"""	"=""comedy, drama"""	"=""2011-"""	"=""https://en.wikipedia.org/wiki/Shameless_(American_TV_series), https://tv.apple.com/us/show/shameless/umc.cmc.699yz0ndcm42cxcwcbzkb6dng"""
"=""The Shield"""	"="""""	"=""series"""	"=""crime, drama"""	"=""2002-2008"""	"=""https://en.wikipedia.org/wiki/The_Shield, https://tv.apple.com/us/show/the-shield/umc.cmc.5sibduz998mv11wmxf8lthoex"""
"=""The Shining"""	"="""""	"=""movie"""	"=""horror, suspense"""	"=""1980"""	"=""https://en.wikipedia.org/wiki/The_Shining_(film), https://tv.apple.com/us/movie/the-shining/umc.cmc.be3gn94hs3l9fjvg34ex9sy1"""
"=""Signs"""	"="""""	"=""movie"""	"=""aliens, horror, science fiction, suspense"""	"=""2002"""	"=""https://en.wikipedia.org/wiki/Signs_(film), https://tv.apple.com/us/movie/signs/umc.cmc.2vj4vibsrb38cvi5nojt2morx"""
"=""The Simpsons"""	"="""""	"=""series"""	"=""animation, comedy"""	"=""1989-"""	"=""https://en.wikipedia.org/wiki/The_Simpsons, https://tv.apple.com/us/show/the-simpsons/umc.cmc.1kfo3z1jtaj8ff6wsh9cvxbwu"""
"=""The Sinner"""	"="""""	"=""series"""	"=""crime, suspense"""	"=""2017-"""	"=""https://en.wikipedia.org/wiki/The_Sinner_(TV_series), https://tv.apple.com/us/show/the-sinner/umc.cmc.5b95dnukrzodbdu40zqv1w2j1"""
"=""Six Feet Under"""	"="""""	"=""series"""	"=""drama"""	"=""2001-2005"""	"=""https://en.wikipedia.org/wiki/Six_Feet_Under_(TV_series), https://tv.apple.com/us/show/six-feet-under/umc.cmc.7e2whu31s2zmh5l7fhioofatl"""
"=""Smokey and the Bandit"""	"="""""	"=""movie"""	"=""adventure, comedy"""	"=""1977"""	"=""https://en.wikipedia.org/wiki/Smokey_and_the_Bandit, https://tv.apple.com/us/movie/smokey-and-the-bandit/umc.cmc.1376mh6oyen5lc79pkpiyb87x"""
"=""Sneakers"""	"="""""	"=""movie"""	"=""comedy, crime, espionage"""	"=""1992"""	"=""https://en.wikipedia.org/wiki/Sneakers_(1992_film), https://tv.apple.com/us/movie/sneakers/umc.cmc.2ymtppe6e6ks0kki70y5o2es8"""
"=""Spider-Man: Into the Spider-Verse"""	"="""""	"=""movie"""	"=""animation, high school, superheroes"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/Spider-Man%3A_Into_the_Spider-Verse, https://tv.apple.com/us/movie/spider-man-into-the-spider-verse/umc.cmc.4a2ypxddplsdsahwxrc5fkz4x"""
"=""Star Wars"""	"=""Star Wars"""	"=""movie"""	"=""science fiction, space"""	"=""1977"""	"=""https://en.wikipedia.org/wiki/Star_Wars_(film), https://tv.apple.com/us/movie/star-wars-a-new-hope/umc.cmc.2o65qvudvwq1l1rqjlbyfszwn"""
"=""Star Wars: The Force Awakens"""	"=""Star Wars"""	"=""movie"""	"=""science fiction, space"""	"=""2015"""	"=""https://en.wikipedia.org/wiki/Star_Wars%3A_The_Force_Awakens, https://tv.apple.com/us/movie/star-wars-the-force-awakens/umc.cmc.61i3yveu7xby4chfkqved19ka"""
"=""Star Wars: The Last Jedi"""	"=""Star Wars"""	"=""movie"""	"=""science fiction, space"""	"=""2017"""	"=""https://en.wikipedia.org/wiki/Star_Wars%3A_The_Last_Jedi, https://tv.apple.com/us/movie/star-wars-the-last-jedi/umc.cmc.7f19yhpg0i8vk8of1ydhs7g1v"""
"=""Stop Making Sense"""	"="""""	"=""movie"""	"=""music, nonfiction"""	"=""1984"""	"=""https://en.wikipedia.org/wiki/Stop_Making_Sense, https://tv.apple.com/us/movie/stop-making-sense/umc.cmc.4qcn1p5rridjzo742xirf9j8m"""
"=""The Strain"""	"="""""	"=""series"""	"=""action, horror, monsters"""	"=""2014-2017"""	"=""https://en.wikipedia.org/wiki/The_Strain_(TV_series), https://tv.apple.com/us/show/the-strain/umc.cmc.1gej4rmomlv6t4ldpyub19y7e"""
"=""Stranger Things"""	"="""""	"=""series"""	"=""horror, monsters, science fiction"""	"=""2016-"""	"=""https://en.wikipedia.org/wiki/Stranger_Things, https://www.netflix.com/title/80057281"""
"=""Super Troopers"""	"="""""	"=""movie"""	"=""comedy"""	"=""2001"""	"=""https://en.wikipedia.org/wiki/Super_Troopers, https://tv.apple.com/us/movie/super-troopers/umc.cmc.3dxg620rtk7ca3ae1j9y24cjb"""
